"Scientific Names","Common Names","Genus","Family","Latitude","Longitude","Elevation","Sample Number"
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.10244964,18.43643107,347,10
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.2123094,18.37938247,77,11
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-33.9808095,18.38497075,657,12
"Mimetes fimbriifolius","Tree Pagoda","Mimetes","Proteaceae",-34.27099097,18.39498224,69,13
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.2543,18.3849,40,1
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.30142443,18.44209817,131,2
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.27244186,18.45178604,161,3
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.26507718,18.39813329,66,4
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.09471418,18.40504217,329,5
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.09440316,18.40447559,329,6
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.33735941,18.46090317,47,7
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.31999024,18.45288151,74,8
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.2723531,18.451631,161,9
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.29340406,18.44696919,149,10
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.29209098,18.44544796,149,11
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.28612445,18.40054105,38,12
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.09486389,18.404747,329,13
"Mimetes hirtus","Marsh Pagoda","Mimetes","Proteaceae",-34.27258007,18.45197204,161,14
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-34.05959289,18.41095174,130,1
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-34.05494,18.411,133,2
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-34.0571,18.4277,40,3
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-33.94967139,18.44607806,315,4
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-33.99584024,18.4016334,504,5
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-33.98560333,18.421075,459,6
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-34.26158572,18.42868399,83,7
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-34.06758185,18.4057083,393,8
"Pelargonium cucullatum tabulare","Peninsula Hooded Storksbill","Pelargonium","Geraniaceae",-34.11437667,18.43235333,398,9
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.08029515,18.36619574,261,1
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.27312507,18.46524782,153,2
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.15952094,18.39315472,201,3
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.29931838,18.42147302,96,4
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.00882974,18.35449408,151,5
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.26253116,18.39295598,66,6
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.07056585,18.38721135,618,7
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.09103438,18.41832194,302,8
"Pelargonium psammophilum","Sand Storksbill","Pelargonium","Geraniaceae",-34.1492688,18.43338088,53,9
"Protea cynaroides","Giant Protea","Protea","Proteaceae",-33.9767,18.4199,648,1
"Protea cynaroides","Giant Protea","Protea","Proteaceae",-33.98518875,18.41968236,459,2
"Protea cynaroides","Giant Protea","Protea","Proteaceae",-33.96044726,18.40072632,863,3
"Protea cynaroides","Giant Protea","Protea","Proteaceae",-34.110854,18.437045,440,4
"Protea cynaroides","Giant Protea","Protea","Proteaceae",-34.2744149,18.42242076,92,5
